calc_id,boundary_condition_NZ,boundary_condition_X,boundary_condition_Y,boundary_condition_NX,boundary_condition_NY,boundary_condition_Z,load_time,rock_young_constant,rock_alpha_constant,concrete_init_temp,concrete_cheat,concrete_dt,concrete_norm_coeff,concrete_young_constant,concrete_alpha_constant,concrete_strength_time,steel_init_temp,bentonite_init_temp,bentonite_cheat,bentonite_dt,bentonite_young_constant,bentonite_alpha_constant,rw_init_temp,rw_cheat,rw_dt,rw_young_constant,rw_alpha_constant,rw_norm_coeff
7109,2243261718.75,6532207031.25,8437343750.0,7395996093.75,9513281250.0,2209121093.75,4.832314453125,60339257812.5,7.9857421875e-06,18.87109375,2409.66796875,1.3253906249999998,0.9549804687500001,11689453125.0,9.05009765625e-06,1602281.25,27.439453125,43.9765625,1160.80078125,0.9685546875,4065429687.5,8.122460937499999e-06,37.6484375,804.53125,2.09203125,11455078125.0,4.633789062500001e-06,0.9651367187500001
7110,2272207031.25,9053964843.75,9509843750.0,7538378906.25,8464843750.0,1802402343.75,3.052197265625,45660742187.5,5.7681640625000006e-06,19.40234375,2432.63671875,1.389140625,0.9530273437500001,10900390625.0,9.72685546875e-06,2500031.25,30.087890625,44.2265625,1070.56640625,1.0212890625,5901367187.5,7.463476562499999e-06,36.3984375,897.34375,2.18765625,8134765625.0,5.2783203125e-06,1.0686523437500002
7111,1863261718.75,9053964843.75,9509843750.0,7538378906.25,8464843750.0,1802402343.75,3.052197265625,45660742187.5,5.7681640625000006e-06,19.40234375,2432.63671875,1.389140625,0.9530273437500001,10900390625.0,9.72685546875e-06,2500031.25,30.087890625,44.2265625,1070.56640625,1.0212890625,5901367187.5,7.463476562499999e-06,36.3984375,897.34375,2.18765625,8134765625.0,5.2783203125e-06,1.0686523437500002
7112,2272207031.25,8152207031.25,9509843750.0,7538378906.25,8464843750.0,1802402343.75,3.052197265625,45660742187.5,5.7681640625000006e-06,19.40234375,2432.63671875,1.389140625,0.9530273437500001,10900390625.0,9.72685546875e-06,2500031.25,30.087890625,44.2265625,1070.56640625,1.0212890625,5901367187.5,7.463476562499999e-06,36.3984375,897.34375,2.18765625,8134765625.0,5.2783203125e-06,1.0686523437500002
7113,2272207031.25,9053964843.75,10197343750.0,7538378906.25,8464843750.0,1802402343.75,3.052197265625,45660742187.5,5.7681640625000006e-06,19.40234375,2432.63671875,1.389140625,0.9530273437500001,10900390625.0,9.72685546875e-06,2500031.25,30.087890625,44.2265625,1070.56640625,1.0212890625,5901367187.5,7.463476562499999e-06,36.3984375,897.34375,2.18765625,8134765625.0,5.2783203125e-06,1.0686523437500002
7114,2272207031.25,9053964843.75,9509843750.0,9015996093.75,8464843750.0,1802402343.75,3.052197265625,45660742187.5,5.7681640625000006e-06,19.40234375,2432.63671875,1.389140625,0.9530273437500001,10900390625.0,9.72685546875e-06,2500031.25,30.087890625,44.2265625,1070.56640625,1.0212890625,5901367187.5,7.463476562499999e-06,36.3984375,897.34375,2.18765625,8134765625.0,5.2783203125e-06,1.0686523437500002
7115,2272207031.25,9053964843.75,9509843750.0,7538378906.25,7753281250.0,1802402343.75,3.052197265625,45660742187.5,5.7681640625000006e-06,19.40234375,2432.63671875,1.389140625,0.9530273437500001,10900390625.0,9.72685546875e-06,2500031.25,30.087890625,44.2265625,1070.56640625,1.0212890625,5901367187.5,7.463476562499999e-06,36.3984375,897.34375,2.18765625,8134765625.0,5.2783203125e-06,1.0686523437500002
7116,2272207031.25,9053964843.75,9509843750.0,7538378906.25,8464843750.0,1829121093.75,3.052197265625,45660742187.5,5.7681640625000006e-06,19.40234375,2432.63671875,1.389140625,0.9530273437500001,10900390625.0,9.72685546875e-06,2500031.25,30.087890625,44.2265625,1070.56640625,1.0212890625,5901367187.5,7.463476562499999e-06,36.3984375,897.34375,2.18765625,8134765625.0,5.2783203125e-06,1.0686523437500002
7117,2272207031.25,9053964843.75,9509843750.0,7538378906.25,8464843750.0,1802402343.75,2.8423144531249998,45660742187.5,5.7681640625000006e-06,19.40234375,2432.63671875,1.389140625,0.9530273437500001,10900390625.0,9.72685546875e-06,2500031.25,30.087890625,44.2265625,1070.56640625,1.0212890625,5901367187.5,7.463476562499999e-06,36.3984375,897.34375,2.18765625,8134765625.0,5.2783203125e-06,1.0686523437500002
7118,2272207031.25,9053964843.75,9509843750.0,7538378906.25,8464843750.0,1802402343.75,3.052197265625,49739257812.5,5.7681640625000006e-06,19.40234375,2432.63671875,1.389140625,0.9530273437500001,10900390625.0,9.72685546875e-06,2500031.25,30.087890625,44.2265625,1070.56640625,1.0212890625,5901367187.5,7.463476562499999e-06,36.3984375,897.34375,2.18765625,8134765625.0,5.2783203125e-06,1.0686523437500002
